experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6833333333333333,0.6638755980861244,0.7021531100478469,0.5562303653614055,0.5777777777777777,0.5652173913043478,0.5909090909090909,0.7368421052631579,13,10,28,9,10
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6721311475409836,0.6445221445221445,0.6783216783216783,0.4704021684797628,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7435897435897436,12,10,29,10,11
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6666666666666666,0.6411483253588517,0.7380382775119617,0.6308485797180248,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7368421052631579,12,10,28,10,12
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.7333333333333333,0.6746411483253588,0.7236842105263158,0.6234998151788932,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.8947368421052632,10,4,34,12,13
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6666666666666666,0.6220095693779905,0.6291866028708134,0.5091871905849781,0.5,0.5555555555555556,0.45454545454545453,0.7894736842105263,10,8,30,12,14
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6666666666666666,0.6124401913875598,0.7272727272727273,0.5551514522207385,0.47368421052631576,0.5625,0.4090909090909091,0.8157894736842105,9,7,31,13,15
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.4,0.6885245901639344,0.7266899766899767,0.7494172494172494,0.6387358617321596,0.6666666666666666,0.5428571428571428,0.8636363636363636,0.5897435897435898,19,16,23,3,1
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.35,0.6666666666666666,0.6889952153110048,0.715311004784689,0.63535883548438,0.6296296296296297,0.53125,0.7727272727272727,0.6052631578947368,17,15,23,5,2
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.35,0.6,0.6746411483253589,0.7523923444976077,0.6603954065305048,0.6363636363636364,0.4772727272727273,0.9545454545454546,0.39473684210526316,21,23,15,1,3
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.3,0.65,0.7236842105263158,0.7212918660287082,0.5372640762143454,0.676923076923077,0.5116279069767442,1.0,0.4473684210526316,22,21,17,0,4
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.275,0.5333333333333333,0.6124401913875598,0.6913875598086124,0.6442034530865692,0.5882352941176471,0.43478260869565216,0.9090909090909091,0.3157894736842105,20,26,12,2,5
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.4,0.5409836065573771,0.6013986013986015,0.6317016317016317,0.4923736552438853,0.5625,0.42857142857142855,0.8181818181818182,0.38461538461538464,18,24,15,4,6
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.275,0.5833333333333334,0.6423444976076556,0.6483253588516746,0.5410614521553659,0.6031746031746031,0.4634146341463415,0.8636363636363636,0.42105263157894735,19,22,16,3,7
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.4,0.6666666666666666,0.6889952153110048,0.6949760765550239,0.5400495482649372,0.6296296296296297,0.53125,0.7727272727272727,0.6052631578947368,17,15,23,5,8
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.3,0.6333333333333333,0.6913875598086124,0.757177033492823,0.6662819556734623,0.6451612903225806,0.5,0.9090909090909091,0.47368421052631576,20,20,18,2,9
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.45,0.7166666666666667,0.7093301435406698,0.7021531100478469,0.5562303653614055,0.6382978723404256,0.6,0.6818181818181818,0.7368421052631579,15,10,28,7,10
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.35,0.639344262295082,0.6783216783216783,0.6783216783216783,0.4704021684797628,0.6206896551724138,0.5,0.8181818181818182,0.5384615384615384,18,18,21,4,11
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.4,0.7,0.7344497607655502,0.7380382775119617,0.6308485797180248,0.6785714285714286,0.5588235294117647,0.8636363636363636,0.6052631578947368,19,15,23,3,12
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.35,0.6,0.6555023923444976,0.7236842105263158,0.6234998151788932,0.6129032258064516,0.475,0.8636363636363636,0.4473684210526316,19,21,17,3,13
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.275,0.55,0.6255980861244019,0.6291866028708134,0.5091871905849781,0.5970149253731343,0.4444444444444444,0.9090909090909091,0.34210526315789475,20,25,13,2,14
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200,,0.4,0.6833333333333333,0.6925837320574163,0.7272727272727273,0.5551514522207385,0.6274509803921569,0.5517241379310345,0.7272727272727273,0.6578947368421053,16,13,25,6,15
