experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
pls2_logreg_t0_only,t0_only,pls2_logreg,0.8,0.784688995215311,0.826555023923445,0.8002536297203307,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8421052631578947,16,6,32,6,8
pls2_logreg_t0_only,t0_only,pls2_logreg,0.7,0.6866028708133971,0.7787081339712919,0.7480990638221141,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.7368421052631579,14,10,28,8,9
pls2_logreg_t0_only,t0_only,pls2_logreg,0.7333333333333333,0.7416267942583732,0.84688995215311,0.7861427196140081,0.68,0.6071428571428571,0.7727272727272727,0.7105263157894737,17,11,27,5,10
pls2_logreg_t0_only,t0_only,pls2_logreg,0.6885245901639344,0.6474358974358974,0.6934731934731935,0.6681672514302732,0.5365853658536586,0.5789473684210527,0.5,0.7948717948717948,11,8,31,11,11
pls2_logreg_t0_only,t0_only,pls2_logreg,0.7833333333333333,0.7811004784688995,0.8600478468899522,0.830080134014622,0.723404255319149,0.68,0.7727272727272727,0.7894736842105263,17,8,30,5,12
pls2_logreg_t0_only,t0_only,pls2_logreg,0.8166666666666667,0.8456937799043063,0.8636363636363638,0.7750801834321517,0.7924528301886793,0.6774193548387096,0.9545454545454546,0.7368421052631579,21,10,28,1,13
pls2_logreg_t0_only,t0_only,pls2_logreg,0.7333333333333333,0.7129186602870814,0.8253588516746411,0.7518133040840727,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7894736842105263,14,8,30,8,14
pls2_logreg_t0_only,t0_only,pls2_logreg,0.8166666666666667,0.8074162679425837,0.8995215311004785,0.8609436209768886,0.7555555555555555,0.7391304347826086,0.7727272727272727,0.8421052631578947,17,6,32,5,15
pls5_logreg_t0_only,t0_only,pls5_logreg,0.8360655737704918,0.8519813519813519,0.9067599067599067,0.9154749763721513,0.8,0.7142857142857143,0.9090909090909091,0.7948717948717948,20,8,31,2,1
pls5_logreg_t0_only,t0_only,pls5_logreg,0.85,0.8528708133971292,0.8935406698564594,0.897039734626633,0.8085106382978723,0.76,0.8636363636363636,0.8421052631578947,19,6,32,3,2
pls5_logreg_t0_only,t0_only,pls5_logreg,0.8166666666666667,0.8169856459330144,0.8875598086124402,0.8632423599479606,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,3
pls5_logreg_t0_only,t0_only,pls5_logreg,0.8,0.7942583732057416,0.8492822966507177,0.8214368205239797,0.7391304347826086,0.7083333333333334,0.7727272727272727,0.8157894736842105,17,7,31,5,4
pls5_logreg_t0_only,t0_only,pls5_logreg,0.8166666666666667,0.8169856459330144,0.9019138755980861,0.8838212817911466,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,5
pls5_logreg_t0_only,t0_only,pls5_logreg,0.7868852459016393,0.7937062937062938,0.8578088578088578,0.8413438389908976,0.7346938775510204,0.6666666666666666,0.8181818181818182,0.7692307692307693,18,9,30,4,6
pls5_logreg_t0_only,t0_only,pls5_logreg,0.8166666666666667,0.8169856459330144,0.8983253588516746,0.8947511781565824,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,7
pls5_logreg_t0_only,t0_only,pls5_logreg,0.7833333333333333,0.7811004784688995,0.8636363636363636,0.8282263910317966,0.723404255319149,0.68,0.7727272727272727,0.7894736842105263,17,8,30,5,8
pls5_logreg_t0_only,t0_only,pls5_logreg,0.85,0.8337320574162679,0.8803827751196173,0.8835415033145086,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.8947368421052632,17,4,34,5,9
pls5_logreg_t0_only,t0_only,pls5_logreg,0.75,0.7739234449760766,0.8791866028708133,0.8183584289885302,0.7169811320754716,0.6129032258064516,0.8636363636363636,0.6842105263157895,19,12,26,3,10
pls5_logreg_t0_only,t0_only,pls5_logreg,0.7377049180327869,0.6858974358974359,0.775058275058275,0.710121938825363,0.5789473684210527,0.6875,0.5,0.8717948717948718,11,5,34,11,11
pls5_logreg_t0_only,t0_only,pls5_logreg,0.85,0.8433014354066986,0.9078947368421053,0.8575316690128361,0.8,0.782608695652174,0.8181818181818182,0.868421052631579,18,5,33,4,12
pls5_logreg_t0_only,t0_only,pls5_logreg,0.7666666666666667,0.7870813397129186,0.8851674641148326,0.8667678623176291,0.7307692307692307,0.6333333333333333,0.8636363636363636,0.7105263157894737,19,11,27,3,13
pls5_logreg_t0_only,t0_only,pls5_logreg,0.7,0.7248803827751196,0.8289473684210527,0.793595833557283,0.6666666666666666,0.5625,0.8181818181818182,0.631578947368421,18,14,24,4,14
pls5_logreg_t0_only,t0_only,pls5_logreg,0.8166666666666667,0.8265550239234449,0.94377990430622,0.9348515939425028,0.7755102040816326,0.7037037037037037,0.8636363636363636,0.7894736842105263,19,8,30,3,15
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8032786885245902,0.8164335664335665,0.8869463869463869,0.8800171525764309,0.76,0.6785714285714286,0.8636363636363636,0.7692307692307693,19,9,30,3,1
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8166666666666667,0.8265550239234449,0.8947368421052632,0.9015378767774156,0.7755102040816326,0.7037037037037037,0.8636363636363636,0.7894736842105263,19,8,30,3,2
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8333333333333334,0.8492822966507176,0.8863636363636364,0.8548336713390217,0.8,0.7142857142857143,0.9090909090909091,0.7894736842105263,20,8,30,2,3
pls10_logreg_t0_only,t0_only,pls10_logreg,0.7833333333333333,0.7811004784688995,0.8552631578947368,0.8058438440713254,0.723404255319149,0.68,0.7727272727272727,0.7894736842105263,17,8,30,5,4
pls10_logreg_t0_only,t0_only,pls10_logreg,0.85,0.8624401913875598,0.910287081339713,0.8746166468781105,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.8157894736842105,20,7,31,2,5
pls10_logreg_t0_only,t0_only,pls10_logreg,0.7704918032786885,0.7907925407925408,0.8414918414918414,0.8113864916933968,0.7307692307692307,0.6333333333333333,0.8636363636363636,0.717948717948718,19,11,28,3,6
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8166666666666667,0.8169856459330144,0.9186602870813396,0.9055687247132727,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,7
pls10_logreg_t0_only,t0_only,pls10_logreg,0.7666666666666667,0.7488038277511961,0.8648325358851674,0.8395472628232019,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,8
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8166666666666667,0.8074162679425837,0.8791866028708134,0.8711453381689953,0.7555555555555555,0.7391304347826086,0.7727272727272727,0.8421052631578947,17,6,32,5,9
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8333333333333334,0.8397129186602871,0.9174641148325359,0.8793424707539539,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,10
pls10_logreg_t0_only,t0_only,pls10_logreg,0.6557377049180327,0.6118881118881119,0.7832167832167832,0.7111644200035541,0.4878048780487805,0.5263157894736842,0.45454545454545453,0.7692307692307693,10,9,30,12,11
pls10_logreg_t0_only,t0_only,pls10_logreg,0.8,0.8038277511961722,0.8983253588516746,0.8525534283076475,0.75,0.6923076923076923,0.8181818181818182,0.7894736842105263,18,8,30,4,12
pls10_logreg_t0_only,t0_only,pls10_logreg,0.75,0.7834928229665072,0.895933014354067,0.8758921817358507,0.7272727272727273,0.6060606060606061,0.9090909090909091,0.6578947368421053,20,13,25,2,13
pls10_logreg_t0_only,t0_only,pls10_logreg,0.7666666666666667,0.7966507177033493,0.881578947368421,0.8381704785831918,0.7407407407407407,0.625,0.9090909090909091,0.6842105263157895,20,12,26,2,14
